,baja_utilizacion,utilizacion_media,utilizacion_alta,sobre_utilizacion,total_bloques,uso_porcentual,baja_utilizacion_pct,utilizacion_media_pct,utilizacion_alta_pct,sobre_utilizacion_pct
KAUS3,1,1,10,0,12,26.666666666666668,8.33,8.33,83.33,0.0
IM2,1,4,7,0,12,26.666666666666668,8.33,33.33,58.33,0.0
KAUS5,3,7,2,0,12,26.666666666666668,25.0,58.33,16.67,0.0
KAUT5,4,4,6,0,14,31.11111111111111,28.57,28.57,42.86,0.0
LAMB,7,1,6,0,14,31.11111111111111,50.0,7.14,42.86,0.0
IC2,6,2,6,0,14,31.11111111111111,42.86,14.29,42.86,0.0
E6,8,7,0,0,15,33.33333333333333,53.33,46.67,0.0,0.0
IM4,3,1,6,5,15,33.33333333333333,20.0,6.67,40.0,33.33
KAUT2,5,7,2,2,16,35.55555555555556,31.25,43.75,12.5,12.5
CM6,2,5,9,0,16,35.55555555555556,12.5,31.25,56.25,0.0
D105,9,7,0,0,16,35.55555555555556,56.25,43.75,0.0,0.0
E1,5,6,6,0,17,37.77777777777778,29.41,35.29,35.29,0.0
IM3,4,2,11,0,17,37.77777777777778,23.53,11.76,64.71,0.0
IC3,7,6,4,0,17,37.77777777777778,41.18,35.29,23.53,0.0
CRP33,12,4,2,0,18,40.0,66.67,22.22,11.11,0.0
CM3,14,4,1,0,19,42.22222222222222,73.68,21.05,5.26,0.0
K1,10,5,4,0,19,42.22222222222222,52.63,26.32,21.05,0.0
KAUL1,6,5,9,0,20,44.44444444444444,30.0,25.0,45.0,0.0
KAUT3,4,0,16,0,20,44.44444444444444,20.0,0.0,80.0,0.0
K2,5,6,9,0,20,44.44444444444444,25.0,30.0,45.0,0.0
IC4,14,4,3,0,21,46.666666666666664,66.67,19.05,14.29,0.0
KAUS2,11,2,8,0,21,46.666666666666664,52.38,9.52,38.1,0.0
KAUT8,0,1,19,2,22,48.888888888888886,0.0,4.55,86.36,9.09
IC8,13,7,2,0,22,48.888888888888886,59.09,31.82,9.09,0.0
KAUT1,4,7,11,0,22,48.888888888888886,18.18,31.82,50.0,0.0
KAUT4,7,5,11,0,23,51.11111111111111,30.43,21.74,47.83,0.0
IOLAB,2,7,16,0,25,55.55555555555556,8.0,28.0,64.0,0.0
K3,13,8,6,0,27,60.0,48.15,29.63,22.22,0.0
IC1,9,8,10,0,27,60.0,33.33,29.63,37.04,0.0
KAUT7,12,2,15,0,29,64.44444444444444,41.38,6.9,51.72,0.0
KAUT6,15,2,12,0,29,64.44444444444444,51.72,6.9,41.38,0.0
CM5,16,8,6,0,30,66.66666666666666,53.33,26.67,20.0,0.0
CM4,10,9,11,0,30,66.66666666666666,33.33,30.0,36.67,0.0
CRP43,19,11,0,0,30,66.66666666666666,63.33,36.67,0.0,0.0
KAUS1,15,15,0,0,30,66.66666666666666,50.0,50.0,0.0,0.0
A106,13,6,5,21,45,100.0,28.89,13.33,11.11,46.67
ANT21,7,7,15,16,45,100.0,15.56,15.56,33.33,35.56
